run1,,Baseline 100%T,,GaAs,,
eV,Abs,eV,%T,eV,%T,
0.3759999871,-0.007357383147,0.3759999871,104.0018234,0.3759999871,49.00856781,
0.3761810064,-0.00155993097,0.3761810064,97.40342712,0.3761810064,49.27696228,
0.3763619959,-0.01064495277,0.3763619959,100.959465,0.3763619959,51.99182129,
0.3765430152,-0.02961719409,0.3765430152,99.45516968,0.3765430152,47.84649277,
0.3767240644,0.004832333885,0.3767240644,102.8549042,0.3767240644,47.20481873,
0.3769050837,-0.005495465361,0.3769050837,98.58972168,0.3769050837,50.71591187,
0.3770860732,-0.002669578185,0.3770860732,102.2081146,0.3770860732,48.21644592,
0.3772670925,-0.0004698866687,0.3772670925,101.199234,0.3772670925,49.99230957,
0.3774481118,-0.004354123026,0.3774481118,103.3286209,0.3774481118,49.86927032,
0.3776291311,-0.01328960434,0.3776291311,101.5664825,0.3776291311,48.97252655,
0.3778101802,-0.01401430741,0.3778101802,102.3235703,0.3778101802,49.17491913,
0.3779911697,0.002377755474,0.3779911697,99.33805847,0.3779911697,48.06268692,
0.378172189,-0.01080254186,0.378172189,102.1278152,0.378172189,48.97042847,
0.3783532083,-0.004018116277,0.3783532083,102.9912949,0.3783532083,49.2122879,
0.3785342276,-0.007703482639,0.3785342276,101.9211502,0.3785342276,48.13926315,
0.3787152171,-0.009044971317,0.3787152171,102.3406525,0.3787152171,48.81415939,
0.3788962662,-0.006429921836,0.3788962662,101.4054413,0.3788962662,47.86550522,
0.3790772855,-0.001959077083,0.3790772855,99.06291962,0.3790772855,48.90419769,
0.3792583048,0.005421841983,0.3792583048,101.4139404,0.3792583048,50.08997345,
0.3794392943,-0.01640044898,0.3794392943,98.6058197,0.3794392943,50.72956085,
0.3796203136,-0.004097667523,0.3796203136,102.3186188,0.3796203136,48.16296768,
0.379801333,-0.01956642978,0.379801333,101.7833481,0.379801333,49.92670822,
0.3799823821,-0.004310246091,0.3799823821,102.2270889,0.3799823821,48.33766937,
0.3801633716,-0.02007005736,0.3801633716,100.8333664,0.3801633716,48.44737244,
0.3803443909,-0.003998777363,0.3803443909,102.6882629,0.3803443909,48.95624924,
0.3805254102,-0.0123131955,0.3805254102,102.8673859,0.3805254102,47.53015518,
0.3807064295,-0.02255813964,0.3807064295,102.1878967,0.3807064295,48.22270966,
0.380887419,-0.001848563668,0.380887419,102.2522202,0.380887419,46.30687332,
0.3810684383,-0.01371734776,0.3810684383,99.66588593,0.3810684383,49.40797424,
0.3812494874,-0.004482448101,0.3812494874,101.1430893,0.3812494874,48.48865128,
0.3814305067,-0.01274335943,0.3814305067,102.2203445,0.3814305067,48.20137024,
0.3816114962,0.005163764581,0.3816114962,101.8509064,0.3816114962,48.80188751,
0.3817925155,-0.0008614067337,0.3817925155,102.2234955,0.3817925155,49.64984512,
0.3819735348,-0.004651559517,0.3819735348,102.4469223,0.3819735348,51.29455948,
0.3821545541,-0.008239285089,0.3821545541,100.3042374,0.3821545541,49.53380585,
0.3823356032,-0.009336223826,0.3823356032,102.3840561,0.3823356032,48.17528915,
0.3825165927,-0.01269826107,0.3825165927,100.8487549,0.3825165927,49.60896301,
0.382697612,-0.008996088989,0.382697612,100.86409,0.382697612,48.92138672,
0.3828786314,-0.007137379143,0.3828786314,101.9420471,0.3828786314,48.82153702,
0.3830596507,-0.009786251932,0.3830596507,101.7307129,0.3830596507,48.32652664,
0.3832406402,-0.006478277501,0.3832406402,103.4928818,0.3832406402,47.62786865,
0.3834216893,-0.012773172,0.3834216893,101.594986,0.3834216893,47.84065247,
0.3836027086,-0.00615651859,0.3836027086,102.8613434,0.3836027086,47.87929535,
0.3837837279,-0.00540691521,0.3837837279,104.555809,0.3837837279,48.90848923,
0.3839647174,-0.002836207859,0.3839647174,102.2631149,0.3839647174,50.33909225,
0.3841457367,-0.01233871002,0.3841457367,102.9137039,0.3841457367,48.13136292,
0.384326756,-0.01769410819,0.384326756,100.8734741,0.384326756,49.27011108,
0.3845078051,-0.01315300725,0.3845078051,102.7823105,0.3845078051,47.6404686,
0.3846887946,-0.007279241458,0.3846887946,102.508606,0.3846887946,49.13014221,
0.3848698139,-0.01050332654,0.3848698139,101.6696777,0.3848698139,49.02905655,
0.3850508332,-0.005333637353,0.3850508332,99.85137939,0.3850508332,49.81303787,
0.3852318525,-0.01308851037,0.3852318525,100.4368668,0.3852318525,49.11203384,
0.385412842,-0.01380081009,0.385412842,102.5710373,0.385412842,47.48810577,
0.3855938613,-0.01332801487,0.3855938613,101.2804718,0.3855938613,48.78635406,
0.3857749104,0.0008697328158,0.3857749104,102.4839783,0.3857749104,48.77995682,
0.3859559298,-0.01438754983,0.3859559298,103.160881,0.3859559298,49.36239243,
0.3861369193,-0.01180613041,0.3861369193,102.5019302,0.3861369193,49.23086548,
0.3863179386,-0.005470875651,0.3863179386,101.8965225,0.3863179386,49.71595001,
0.3864989579,-0.01221233327,0.3864989579,102.7118301,0.3864989579,48.7106514,
0.3866799772,0.0002547926561,0.3866799772,101.5576935,0.3866799772,48.84516144,
0.3868610263,-0.01064096205,0.3868610263,102.7938156,0.3868610263,49.01298523,
0.3870420158,-0.01178255025,0.3870420158,102.6084442,0.3870420158,48.50416946,
0.3872230351,-0.007970881648,0.3872230351,102.2039795,0.3872230351,48.9630127,
0.3874040544,-0.009384916164,0.3874040544,102.5083084,0.3874040544,47.7357254,
0.3875850737,-0.01116170082,0.3875850737,102.1587372,0.3875850737,48.92341995,
