#Date: 2024-04-24 17:07:26
#Source: zoom_edge_resolution student 22


#Data:
nm,%T
27000,0,317339616764688
26950,8,004991659754
26900,15,4077866172004
26850,19,4664671433386
26800,19,2383830012072
26750,17,6390926588034
26700,17,1190850790817
26650,16,7919015454846
26600,17,3420839499934
26550,19,9020028026502
26500,23,0283495283109
26450,23,8455928834594
26400,21,8242911251642
26350,20,2050352947714
26300,21,8521375149939
26250,25,1380015821798
26200,26,7864806192949
26150,25,8955685611459
26100,24,7572267382001
26050,25,412698224849
26000,27,0636704986107
25950,27,9936609711706
25900,27,6970943611675
25850,27,1785367813415
25800,27,2810212957446
25750,27,6725893900439
25700,27,7175079389831
25650,27,1640553175005
25600,26,7284717120701
25550,27,1058168007721
25500,27,8648011930719
25450,28,170144138194
25400,28,0268982592144
25350,27,7266585896313
25300,27,3917574670393
25250,26,905307771973
25200,25,992627400879
25150,24,7624441275465
25100,24,5801480112466
25050,26,0812772267256
25000,26,9122512317168
24950,24,7174914649875
24900,22,3134865374587
24850,24,1960109939133
24800,28,8833505331691
24750,31,2543419527105
24700,31,3778071071252
24650,29,0512398235847
24600,22,2468879083467
24550,16,2016724476562
24500,16,9133029010635
24450,20,0896561946904
24400,19,5888542071566
24350,17,110074784748
24300,17,0089617731533
24250,19,3599785254938
24200,20,3240033577871
24150,18,8381224513303
24100,17,9482292597393
24050,19,238999553638
24000,20,4407582845087
23950,19,8132817447902
23900,18,916103758857
23850,19,3218966392403
23800,20,1485820259437
23750,20,4108271576539
23700,20,3237452404934
23650,19,6998223296324
23600,18,7355294930894
23550,18,6813727407383
23500,19,2640182263538
23450,18,7358420688788
23400,17,2892367702103
23350,16,9523144785288
23300,17,6210409933205
23250,17,1704759320272
23200,15,6554323803361
23150,15,2665137676334
23100,15,9371640242281
23050,15,3223998895297
23000,13,5721604902618
22950,13,2234188185599
22900,13,9585092630288
22850,13,1242515782986
22800,11,2820612842762
22750,10,9919864120099
22700,11,5232026140126
22650,10,9717810741796
22600,10,2076007730234
22550,10,7985499996356
22500,11,718454831093
22450,11,886172475379
22400,11,948053312819
22350,12,1729265866381
22300,12,5240266271777
22250,13,108652460085
22200,13,1058264824381
22150,12,4279319913868
22100,12,6985453251361
22050,13,5468072624423
22000,13,2330970476093
21950,12,9333084032707
21900,14,4444381036874
21850,15,8025891885952
21800,15,990506393179
21750,16,9088749419626
21700,18,5987258960393
21650,18,9704098558609
21600,18,8795269056672
21550,19,9210857396675
21500,20,6989953140109
21450,20,5659786414061
21400,20,8886253555101
21350,21,5756310292428
21300,21,9150287484143
21250,22,0889223500775
21200,22,1084757755894
21150,22,4429779333078
21100,23,0401313767426
21050,23,2339418485917
21000,23,4832208258788
20950,24,177935342453
20900,23,9467222497723
20850,23,1101958111883
20800,23,0387734543002
20750,22,3093053363408
20700,20,5432550295296
20650,19,7559813239073
20600,19,2104094495885
20550,18,2592867901506
20500,17,9294828507109
20450,17,8528818783907
20400,17,1175231249553
20350,16,7396266534286
20300,16,7315342435483
20250,16,6308840888659
20200,16,791969186043
20150,17,1501472432224
20100,17,0884921127896
20050,16,9313683991651
20000,16,7761471381348
19950,16,7699598096614
19900,16,6123003589329
19850,16,2873117923172
19800,16,1340476082755
19750,14,4955625322073
19700,12,5777320689725
19650,13,1382892521137
19600,13,0291078430197
19550,12,9906232731067
19500,13,6637706745847
19450,12,8355069289531
19400,12,1098037492762
19350,11,5353273750961
19300,9,50089730407021
19250,7,60898670795696
19200,5,8323771651477
19150,4,18224669203995
19100,3,40618417983406
19050,4,2360787310714
19000,6,26960573134256
18950,8,78832656432714
18900,12,0286754342344
18850,14,2096318578913
18800,15,7711616372243
18750,17,5345581017224
18700,17,7626829991635
18650,19,0956012869039
18600,21,1010601485007
18550,23,2866313325993
18500,26,0485631307374
18450,28,3734121782812
18400,30,4780952040684
18350,32,3460762898604
18300,33,8707965523837
18250,35,0032117503175
18200,36,1242568837864
18150,37,0893513716502
18100,38,0526097158826
18050,39,0704379592731
18000,39,8756543933581
17950,40,797028276443
17900,41,691856643798
17850,42,4014256022173
17800,42,9854069619499
17750,43,3697395862804
17700,43,3373406764456
17650,43,5786683332143
17600,43,5766632309385
17550,43,733526826332
17500,43,6313610143199
17450,43,6385781620614
17400,43,839133700215
17350,43,913990127236
17300,43,929682077088
17250,43,708322224584
17200,44,247809904466
17150,44,8248999611125
17100,45,0771936502859
17050,45,3107864991936
17000,45,3065166969038
16950,45,3859237078492
16900,45,2126651189698
16850,45,2372671004385
16800,45,3952767729096
16750,45,3725308839094
16700,45,5511560946856
16650,45,489257536205
16600,45,4958062193535
16550,45,3648762386203
16500,45,5121005530551
16450,45,5180314597283
16400,45,5378492339656
16350,45,6477587041634
16300,45,6502010641059
16250,45,7173067804571
16200,45,8499595696613
16150,46,0577230669792
16100,45,723235626781
16050,45,9320956576375
16000,45,9684041934014
15950,46,1037813271224
15900,46,1189786524521
15850,46,1736361804174
15800,46,2215823800639
15750,46,2675524029325
15700,46,2000795439625
15650,46,4780846230259
15600,46,2625456858337
15550,46,462357457027
15500,46,2472301927019
15450,46,3379541232499
15400,46,5282247919241
15350,46,0254673213204
15300,46,5722016010273
15250,46,0073316678207
15200,46,4870405991634
15150,46,160624880077
15100,46,3493658711772
15050,45,5214368466754
15000,52,1214189019657
14950,40,2612118995578
